"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.170173446E0,8.281507492E-1,6.458258629E-2,8.732223511E-2
2.180173446E0,5.526401997E-1,-3.582019806E-1,-8.705081940E-1
2.190173446E0,4.395456016E-1,-6.917002201E-1,-1.612877846E0
2.200173446E0,3.180578947E-1,-8.971629143E-1,-2.134507179E0
2.210173446E0,4.695352167E-2,-9.766552448E-1,-2.534945488E0
2.220173446E0,-4.264894873E-2,-9.301433563E-1,-2.726732254E0
2.230173446E0,-1.154384613E-1,-9.459226131E-1,-2.951310158E0
2.240173446E0,2.059600353E-1,-6.899240017E-1,-2.599436283E0
2.250173446E0,9.128873050E-2,-8.792066574E-2,-1.720149994E0
2.260173446E0,-4.698336720E-1,7.378032207E-1,-5.857429504E-1
2.270173446E0,-1.111224413E0,1.527708054E0,5.866451263E-1
2.280173446E0,-1.433833361E0,2.032840967E0,1.596689224E0
2.290173446E0,-1.025351763E0,1.956386089E0,2.310017586E0
2.300173446E0,-3.241845071E-1,1.553288221E0,2.717879295E0
2.310173446E0,1.706340909E-1,1.076078653E0,2.634614944E0
2.320173446E0,3.723444045E-1,6.816887856E-1,1.980569839E0
2.330173446E0,3.080630004E-1,3.502304554E-1,1.009407043E0
2.340173446E0,2.247477174E-1,1.961159706E-2,8.244514465E-3
2.350173446E0,2.344684303E-1,-2.904839516E-1,-8.377647400E-1
2.360173446E0,2.285947949E-1,-5.230669975E-1,-1.629315853E0
2.370173446E0,6.983372569E-2,-5.780421495E-1,-2.203825951E0
2.380173446E0,-1.632969826E-1,-4.288177490E-1,-2.526700020E0
2.390173446E0,-2.684814334E-1,-2.109346390E-1,-2.583700657E0
2.400173446E0,-2.876855731E-1,2.713131905E-2,-2.287995815E0
2.410173446E0,-3.314281702E-1,2.224769592E-1,-1.640360355E0
2.420173446E0,-3.678770065E-1,4.577999115E-1,-8.542585373E-1
2.430173446E0,-4.314599633E-1,6.964485645E-1,-5.779838562E-2
2.440173446E0,-4.861501455E-1,8.634192944E-1,5.605211258E-1
2.450173446E0,-4.343534708E-1,9.197342396E-1,8.964929581E-1
2.460173446E0,-2.466857880E-1,9.013416767E-1,1.047101021E0
2.470173446E0,-4.342664778E-2,8.327584267E-1,1.002419472E0
2.480173446E0,8.123318106E-2,6.711094379E-1,7.391786575E-1
2.490173446E0,5.444835126E-2,5.077121258E-1,3.620176315E-1
2.500173446E0,-2.900370955E-2,3.848659992E-1,-7.494735718E-2
2.510173446E0,-8.294883370E-2,3.386652470E-1,-3.113451004E-1
2.520173446E0,-1.188898981E-1,3.867220879E-1,-3.854484558E-1
2.530173446E0,-1.982377321E-1,4.659690857E-1,-4.475708008E-1
2.540173446E0,-2.199098766E-1,5.529291630E-1,-5.488653183E-1
2.550173446E0,-1.679667532E-1,6.615986824E-1,-6.276245117E-1
2.560173446E0,-7.957282662E-2,7.476367950E-1,-6.541900635E-1
2.570173446E0,-4.666382074E-2,8.116354942E-1,-5.816640854E-1
2.580173446E0,-1.062290072E-1,8.772609234E-1,-5.411071777E-1
2.590173446E0,-5.231124163E-2,9.473645687E-1,-6.933021545E-1
2.600173446E0,7.052978873E-2,9.079711437E-1,-9.696016312E-1
2.610173446E0,2.263967991E-1,6.512167454E-1,-1.410599709E0
2.620173446E0,5.482844710E-1,5.415849686E-1,-2.212405205E0
2.630173446E0,6.453747153E-1,5.133807659E-1,-2.184086800E0
2.640173446E0,3.066077828E-1,7.092275620E-1,-1.917368889E0
2.650173446E0,4.722166061E-2,1.052458525E0,-1.463157654E0
2.660173446E0,9.105294943E-3,1.304249287E0,-8.637752533E-1
2.670173446E0,2.065841854E-2,1.390235662E0,-3.034038544E-1
2.680173446E0,-6.520240009E-2,1.364209175E0,2.689361572E-3
2.690173446E0,-2.242886871E-1,1.220631599E0,1.041469574E-1
2.700173446E0,-3.617911935E-1,9.855458736E-1,1.839733124E-2
2.710173446E0,-5.409417152E-1,7.315609455E-1,-8.650684357E-2
2.720173446E0,-8.002194762E-1,6.730511189E-1,-3.113079071E-2
2.730173446E0,-8.572484255E-1,5.600264072E-1,-5.467414856E-3
2.740173446E0,-5.490380526E-1,3.649692535E-1,1.013612747E-1
2.750173446E0,-3.497621715E-1,2.579143047E-1,2.131280899E-1
2.760173446E0,-2.840697765E-1,2.938055992E-1,3.507251740E-1
2.770173446E0,-2.671629786E-1,4.362583160E-1,4.994010925E-1
2.780173446E0,-1.577189416E-1,6.287338734E-1,6.946964264E-1
2.790173446E0,-3.954260051E-1,6.802465916E-1,9.475574493E-1
2.800173446E0,-2.786904573E-1,7.779920101E-1,9.987783432E-1
2.810173446E0,-1.062018126E-1,9.124171734E-1,9.027490616E-1
2.820173446E0,-1.020367593E-1,9.382429123E-1,7.420186996E-1
2.830173446E0,-1.514679492E-1,8.389995098E-1,4.541263580E-1
2.840173446E0,-1.113819480E-1,6.812262535E-1,5.764198303E-2
2.850173446E0,-6.529878080E-2,5.263068676E-1,-3.923988342E-1
2.860173446E0,-1.628474146E-1,5.376584530E-1,-7.325363159E-1
2.870173446E0,-2.466623336E-1,6.905441284E-1,-7.294521332E-1
2.880173446E0,-4.998190999E-1,8.201150894E-1,-5.396099091E-1
2.890173446E0,-4.904521406E-1,9.812881947E-1,-3.230075836E-1
2.900173446E0,-4.075708985E-1,1.033323765E0,-2.146644592E-1
2.910173446E0,-3.822368085E-1,1.029035330E0,-2.021732330E-1
2.920173446E0,-3.720914721E-1,1.059582472E0,-1.651639938E-1
2.930173446E0,-7.188161016E-1,1.060880661E0,-5.209255219E-2
2.940173446E0,-7.631361485E-1,9.190874100E-1,1.740455627E-2
2.950173446E0,-4.476312101E-1,7.609946728E-1,-1.632003784E-1
2.960173446E0,-5.007559061E-1,6.987280846E-1,-4.084758759E-1
2.970173446E0,-7.856788039E-1,8.231632710E-1,-5.011863708E-1
2.980173446E0,-7.882871628E-1,9.201343060E-1,-3.760776520E-1
2.990173446E0,-3.945119381E-1,9.247426987E-1,-2.285451889E-1
3.000173446E0,-3.118566424E-2,9.055123329E-1,-2.681941986E-1
3.010173446E0,8.364820480E-2,8.048498631E-1,-5.454826355E-1
3.020173446E0,4.023721069E-2,6.840305328E-1,-8.874330521E-1
3.030173446E0,-1.249603406E-1,5.995602608E-1,-1.190455437E0
3.040173446E0,-3.458733559E-1,4.693007469E-1,-1.451035500E0
3.050173446E0,-4.959310889E-1,3.053207397E-1,-1.592563152E0
3.060173446E0,-4.286845326E-1,3.414504528E-1,-1.369843483E0
3.070173446E0,-3.107528687E-1,5.878281593E-1,-6.830234528E-1
