"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.038290585E2,-1.177268744E0,3.818944931E0,6.771687984E0
1.038390585E2,-8.662018180E-1,3.976871252E0,7.365108013E0
1.038490585E2,9.571290575E-3,3.957728624E0,8.216953278E0
1.038590585E2,8.039883971E-1,3.766302824E0,8.551948547E0
1.038690585E2,7.657032609E-1,3.804588079E0,8.724231720E0
1.038790585E2,1.627119333E-1,4.015156269E0,8.867800713E0
1.038890585E2,-4.642075896E-1,3.842873096E0,9.355937004E0
1.038990585E2,-1.531406492E-1,3.708875179E0,9.681360245E0
1.039090585E2,-2.009970993E-1,3.795016766E0,9.513862610E0
1.039190585E2,-7.130611539E-1,3.818944931E0,9.064012527E0
1.039290585E2,-1.162911773E0,3.933800459E0,9.001798630E0
1.039390585E2,-5.072783828E-1,3.857230186E0,9.260223389E0
1.039490585E2,3.302095234E-1,3.689732552E0,9.245866776E0
1.039590585E2,5.120640397E-1,3.728017569E0,9.006584167E0
1.039690585E2,1.627119333E-1,3.972085476E0,9.198010445E0
1.039790585E2,9.571290575E-3,3.876372576E0,9.346364975E0
1.039890585E2,1.627119333E-1,4.005585194E0,9.566504478E0
1.039990585E2,3.397808075E-1,3.938585997E0,9.566504478E0
1.040090585E2,3.589234054E-1,3.823730469E0,9.523433685E0
1.040190585E2,2.919243574E-1,3.747160196E0,9.408578873E0
1.040290585E2,-1.196411327E-1,3.771088600E0,9.384650230E0
1.040390585E2,-5.982056856E-1,3.823730469E0,9.451649666E0
1.040490585E2,-3.110669553E-1,3.670589924E0,9.533005714E0
1.040590585E2,2.871387079E-2,3.608376503E0,9.207581520E0
1.040690585E2,1.435693540E-2,3.675375462E0,9.044869423E0
1.040790585E2,-1.052841991E-1,3.790230989E0,9.279366493E0
1.040890585E2,-4.307080805E-2,3.737588882E0,9.485149384E0
1.040990585E2,2.584248483E-1,3.684946775E0,9.446864128E0
1.041090585E2,4.546363056E-1,3.656233072E0,9.087940216E0
1.041190585E2,3.589234054E-1,3.708875179E0,8.776873589E0
1.041290585E2,-1.004985496E-1,3.852444410E0,8.441878319E0
1.041390585E2,-3.206382394E-1,3.651447296E0,8.274380684E0
1.041490585E2,-2.057827413E-1,3.756731510E0,8.614161491E0
1.041590585E2,1.004985496E-1,3.775874138E0,8.891729355E0
