"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.963896292E0,-7.927514648E-1,-2.926564178E0,9.136700134E0
1.973922292E0,-4.837939453E-1,-2.929258575E0,8.856632538E0
1.983948292E0,-7.743397522E-1,-2.697839813E0,8.428822174E0
1.993973292E0,-1.260828094E0,-2.737806702E0,8.316855011E0
2.003999292E0,-1.178050232E0,-2.932551727E0,8.558452606E0
2.014025292E0,-1.165027313E0,-2.896177368E0,9.017098846E0
2.024050292E0,-1.199006653E0,-2.921025696E0,9.493408356E0
2.034076292E0,-1.068029022E0,-2.816992035E0,9.633966064E0
2.044102292E0,-7.691006470E-1,-3.154091034E0,9.528136139E0
2.054128292E0,-1.097817078E0,-3.427123260E0,9.484427032E0
2.064153292E0,-1.711540833E0,-3.397784271E0,9.450148315E0
2.074179292E0,-1.915117493E0,-3.131038971E0,9.287586365E0
2.084205292E0,-1.712738342E0,-3.013233948E0,8.874894562E0
2.094230292E0,-1.553918610E0,-3.240611115E0,8.789571991E0
2.104256292E0,-1.470541992E0,-3.440445557E0,8.888366547E0
2.114282292E0,-1.816322937E0,-3.677253113E0,8.849447479E0
2.124308292E0,-1.986219635E0,-3.965254211E0,8.839717712E0
2.134333292E0,-2.153122559E0,-4.127516785E0,9.001082153E0
2.144359292E0,-2.572999420E0,-4.045337677E0,9.252110138E0
2.154385292E0,-2.849923553E0,-3.779490509E0,9.597442017E0
2.164410292E0,-2.713257751E0,-3.267555084E0,9.579928436E0
2.174436292E0,-2.097138977E0,-2.841091919E0,9.841434631E0
2.184462292E0,-1.095272369E0,-3.045267334E0,1.032912048E1
2.194488292E0,-3.135978699E-1,-3.581751709E0,1.008797195E1
2.204513292E0,-8.547225952E-2,-3.881877594E0,9.381740570E0
2.214539292E0,-4.903802490E-1,-3.899840240E0,8.770411835E0
2.224565292E0,-1.169218597E0,-3.870950317E0,8.357121277E0
2.234590292E0,-1.965562592E0,-3.632346497E0,8.440497894E0
2.244616292E0,-2.722089386E0,-3.250640259E0,8.714428253E0
2.254642292E0,-3.092269592E0,-2.862796783E0,9.092991028E0
2.264667292E0,-2.971770172E0,-2.885549469E0,9.370214539E0
2.274693292E0,-2.578537903E0,-3.141517181E0,8.914262695E0
2.284719292E0,-1.196012878E0,-3.777843933E0,7.281907196E0
2.294745292E0,-1.168919220E0,-4.317621460E0,7.367678833E0
2.304770292E0,-7.472460938E-1,-4.283492432E0,7.839797058E0
2.314796292E0,3.275189209E-1,-4.363725586E0,8.580905914E0
2.324822292E0,1.047970734E0,-4.340823212E0,9.067693634E0
2.334847292E0,1.013841705E0,-4.532873840E0,9.245224457E0
2.344873292E0,5.568420410E-2,-4.612059174E0,9.380093994E0
2.354899292E0,-1.404229889E0,-4.432582397E0,9.072184296E0
2.364925292E0,-2.591111755E0,-4.366719360E0,8.848848724E0
2.374950292E0,-3.099754028E0,-4.722230072E0,8.905431061E0
2.384976292E0,-2.701582031E0,-4.596341858E0,8.698710938E0
2.395002292E0,-1.611249390E0,-4.392765198E0,8.657546539E0
2.405027292E0,-7.911048889E-1,-4.557572479E0,8.990005188E0
2.415053292E0,-5.592370605E-1,-4.373605042E0,9.344318390E0
2.425079292E0,-5.833369446E-1,-4.237388306E0,9.129365387E0
