"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.549146042E0,-8.476543427E-2,-3.682885766E-1,-9.411509633E-1
2.559172042E0,-1.588142663E-2,-3.953107595E-1,-9.794327617E-1
2.569198042E0,2.530063130E-2,-3.699143231E-1,-9.528077841E-1
2.579223042E0,2.221579291E-2,-2.766187489E-1,-9.337002635E-1
2.589249042E0,-1.380292885E-2,-1.870095134E-1,-9.564348459E-1
2.599275042E0,6.083152723E-3,-2.080479264E-1,-1.010746717E0
2.609300042E0,8.318912238E-2,-2.328712493E-1,-1.131234884E0
2.619326042E0,1.253830492E-1,-3.830646724E-2,-1.272840738E0
2.629352042E0,8.136843890E-2,3.200524673E-2,-1.316788316E0
2.639378042E0,2.770112082E-2,-1.756273583E-2,-1.226311326E0
2.649403042E0,-2.098412439E-2,-6.187575404E-3,-1.057797790E0
2.659429042E0,-3.605760634E-2,-9.204977006E-2,-9.647227526E-1
2.669455042E0,-6.276458502E-2,-1.191423759E-1,-1.052389741E0
2.679480042E0,-6.046370789E-2,-9.513787180E-2,-1.234036446E0
2.689506042E0,-2.837554552E-2,-8.416485041E-2,-1.389214039E0
2.699532042E0,3.277813643E-2,-1.776433885E-1,-1.550282598E0
2.709558042E0,2.061435282E-1,-2.270215899E-1,-1.598694801E0
2.719583042E0,3.303279281E-1,-2.312014550E-1,-1.589284182E0
2.729609042E0,3.518241644E-1,-1.143025309E-1,-1.626664281E0
2.739635042E0,4.268117845E-1,-1.047256216E-1,-1.691304445E0
2.749660042E0,4.858202338E-1,-1.668924093E-2,-1.780892730E0
2.759686042E0,6.371818185E-1,1.718121767E-1,-1.891576052E0
2.769712042E0,6.368989944E-1,3.353694081E-1,-1.849885821E0
2.779738042E0,6.747946739E-1,6.111770272E-1,-1.578572631E0
2.789763042E0,6.371804476E-1,6.686669588E-1,-1.285811424E0
2.799789042E0,4.690770805E-1,6.884878278E-1,-9.860768914E-1
2.809815042E0,3.412794471E-1,6.622647643E-1,-6.906388402E-1
2.819840042E0,1.722771227E-1,5.056595802E-1,-4.235889614E-1
2.829866042E0,-6.698756479E-3,4.327038825E-1,-2.683756948E-1
