"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.200545221E0,-6.029912829E-1,1.519442320E0,9.812965393E0
2.210545221E0,-4.857429862E-1,1.555334687E0,9.781859398E0
2.220545221E0,-3.421736360E-1,1.686939955E0,9.719645500E0
2.230545221E0,-2.943171859E-1,1.899901152E0,9.597611427E0
2.240545221E0,-2.560320199E-1,2.076970100E0,9.406186104E0
2.250545221E0,-2.919243574E-1,2.155933142E0,9.310472488E0
2.260545221E0,-5.000999570E-1,2.091326952E0,9.312865257E0
2.270545221E0,-7.393822074E-1,2.122433662E0,9.473184586E0
2.280545221E0,-8.638089895E-1,2.258824587E0,9.544969559E0
2.290545221E0,-1.110269666E0,2.318645239E0,9.410971642E0
2.300545221E0,-1.237089276E0,2.411965132E0,9.298508644E0
2.310545221E0,-1.373480201E0,2.493321180E0,9.190832138E0
2.320545221E0,-1.316052437E0,2.672782898E0,9.020941734E0
2.330545221E0,-1.076770186E0,2.598605394E0,8.987442017E0
2.340545221E0,-7.680960894E-1,2.409572363E0,8.949156761E0
2.350545221E0,-4.666004181E-1,2.179861546E0,9.131011009E0
2.360545221E0,-2.392822653E-1,2.014756680E0,9.602396965E0
2.370545221E0,-5.264209956E-2,2.050648928E0,1.025803089E1
2.380545221E0,-3.038884699E-1,1.954936147E0,1.065763187E1
2.390545221E0,-3.038884699E-1,1.954936147E0,1.065763187E1
2.400545221E0,-3.038884699E-1,1.954936147E0,1.065763187E1
2.410545221E0,-3.038884699E-1,1.954936147E0,1.065763187E1
2.420545221E0,-3.038884699E-1,1.954936147E0,1.065763187E1
2.430545221E0,-1.414158225E0,1.806581140E0,9.702896118E0
2.440545221E0,-1.134197950E0,1.679761529E0,9.513862610E0
2.450545221E0,-8.709874153E-1,1.569691658E0,9.537791252E0
2.460545221E0,-8.709874153E-1,1.569691658E0,9.537791252E0
2.470545221E0,-8.709874153E-1,1.569691658E0,9.537791252E0
2.480545221E0,-1.584048629E0,2.033899307E0,9.848857880E0
2.490545221E0,-1.500299811E0,1.840080619E0,9.719645500E0
2.500545221E0,-1.170090318E0,1.514656782E0,9.504291534E0
2.510545221E0,-7.130611539E-1,1.237089276E0,9.339186668E0
2.520545221E0,-1.962114573E-1,1.067198873E0,9.269794464E0
2.530545221E0,-1.962114573E-1,1.067198873E0,9.269794464E0
2.540545221E0,-1.962114573E-1,1.067198873E0,9.269794464E0
2.550545221E0,-1.962114573E-1,1.067198873E0,9.269794464E0
