"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.779956594E2,1.683848419E0,-4.683909760E0,2.025887146E0
1.780056854E2,1.498533783E0,-4.691543884E0,2.305954742E0
1.780157114E2,1.834135895E0,-4.804858246E0,2.346071320E0
1.780257374E2,2.092798004E0,-5.529052277E0,2.528841248E0
1.780357634E2,2.123783569E0,-6.293362885E0,3.029550018E0
1.780457894E2,1.664837952E0,-6.958579559E0,3.767814789E0
1.780558154E2,1.372346191E0,-7.303013306E0,4.748724976E0
1.780658414E2,2.075583801E0,-7.124883728E0,5.905818787E0
1.780758674E2,3.150348816E0,-7.036866760E0,6.919959869E0
1.780858934E2,3.580105133E0,-7.079677734E0,7.836952972E0
1.780959194E2,2.925067291E0,-7.212751007E0,8.308173065E0
1.781059454E2,1.598226471E0,-7.682923279E0,8.143964539E0
1.781159714E2,4.990621948E-1,-8.575367432E0,7.560777283E0
1.781259974E2,-2.149530029E-1,-9.623188477E0,7.296127625E0
1.781360234E2,-3.918850708E-1,-1.022837997E1,7.565717010E0
1.781460494E2,-1.447489929E-1,-1.030277527E1,7.740254059E0
1.781560754E2,6.316864014E-2,-1.021505768E1,7.452702026E0
1.781661014E2,5.254074097E-2,-1.020966888E1,6.780449982E0
1.781761274E2,-1.302591248E0,-1.040231827E1,6.209237823E0
1.781861534E2,-1.809586945E0,-1.043150757E1,5.074447632E0
1.781961794E2,-1.263821869E0,-1.012823822E1,5.148094482E0
1.782062044E2,-8.943901062E-1,-9.229207764E0,6.186036072E0
1.782162304E2,-9.283694458E-1,-8.049660645E0,6.776258698E0
1.782262564E2,-8.170010376E-1,-6.968908081E0,7.124584351E0
1.782362824E2,-4.321513367E-1,-6.154751129E0,7.593559113E0
1.782463084E2,1.082249451E-1,-5.465733948E0,7.968679047E0
1.782563344E2,3.430865479E-1,-4.885540466E0,8.174351349E0
1.782663604E2,5.902226257E-1,-4.403093719E0,7.962092743E0
1.782763864E2,8.644523621E-1,-4.229754181E0,7.605534210E0
1.782864124E2,6.107299805E-1,-4.683311005E0,7.703280945E0
1.782964384E2,3.394940186E-1,-5.470523987E0,7.616760864E0
1.783064644E2,1.287322998E-1,-6.298452301E0,7.260202332E0
1.783164904E2,3.041674805E-1,-7.107519836E0,6.816824341E0
1.783265164E2,3.959266663E-1,-7.823930054E0,6.549629974E0
1.783365424E2,3.128494263E-1,-8.136031036E0,6.255491638E0
