"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.728929000E0,-2.185325384E0,4.218482375E-1,-6.274875998E-1
1.738955000E0,-1.891311288E0,4.325615466E-1,-7.578915954E-1
1.748981000E0,-1.500686526E0,3.666416407E-1,-7.167577744E-1
1.759007000E0,-1.152368188E0,2.781626582E-1,-5.273028612E-1
1.769034000E0,-9.384874105E-1,1.705685258E-1,-2.895363271E-1
1.779060000E0,-8.438449502E-1,3.972442821E-2,-1.421508044E-1
1.789086000E0,-8.439703584E-1,-3.149648756E-2,-1.120216623E-1
1.799113000E0,-8.791944385E-1,1.029373705E-2,-1.850883961E-1
1.809139000E0,-9.641330242E-1,-3.657203913E-2,-3.208382130E-1
1.819165000E0,-1.075984359E0,-1.515470296E-1,-4.199809730E-1
1.829192000E0,-1.197480440E0,-2.885426879E-1,-4.011609554E-1
1.839218000E0,-1.313573956E0,-3.983782530E-1,-4.031287134E-1
1.849244000E0,-1.311154485E0,-3.843034506E-1,-4.315877855E-1
1.859270000E0,-1.199058652E0,-2.767981887E-1,-4.720303714E-1
1.869297000E0,-9.925618768E-1,-2.177841514E-1,-5.475661755E-1
1.879323000E0,-7.586966753E-1,-1.356454492E-1,-6.710485816E-1
1.889349000E0,-5.442035198E-1,-9.002814069E-3,-7.876340747E-1
1.899376000E0,-3.560063243E-1,1.580126286E-1,-8.481401801E-1
1.909402000E0,-1.914083213E-1,2.953329384E-1,-8.299131989E-1
1.919428000E0,-4.767034203E-2,3.815915585E-1,-7.780786753E-1
1.929454000E0,5.137315020E-2,4.041269422E-1,-7.401124239E-1
1.939481000E0,7.173043489E-2,3.759110272E-1,-6.978935003E-1
1.949507000E0,3.149299324E-2,2.776480913E-1,-6.616849303E-1
1.959533000E0,-4.165902361E-2,1.151512712E-1,-6.426626444E-1
1.969560000E0,-1.287585050E-1,-2.202975005E-2,-6.001647115E-1
1.979586000E0,-2.190564126E-1,-5.820481107E-2,-5.146499872E-1
1.989612000E0,-2.680566907E-1,-3.665105253E-2,-4.225637615E-1
