"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.200095011E0,6.891329288E-1,2.971885681E0,9.623932838E0
2.210095011E0,6.604190469E-1,2.995813847E0,9.571290970E0
2.220095011E0,6.604190469E-1,2.995813847E0,9.513862610E0
2.230095011E0,6.029912829E-1,2.976671457E0,9.346364975E0
2.240095011E0,5.359922647E-1,2.943171740E0,9.169296265E0
2.250095011E0,5.264210105E-1,2.981456995E0,9.040083885E0
2.260095011E0,6.269195080E-1,3.048455954E0,9.035298347E0
2.270095011E0,6.508477330E-1,3.029313564E0,9.064012527E0
2.280095011E0,6.699903607E-1,2.933600664E0,9.198010445E0
2.290095011E0,7.369893789E-1,2.866601467E0,9.260223389E0
2.300095011E0,7.944171429E-1,2.857030153E0,9.394221306E0
2.310095011E0,8.518448472E-1,2.847458839E0,9.518648148E0
2.320095011E0,9.427721500E-1,2.885744095E0,9.700503349E0
2.330095011E0,1.004985452E0,2.962314367E0,9.777072906E0
2.340095011E0,9.858429432E-1,2.976671457E0,9.762716293E0
2.350095011E0,8.949156404E-1,2.962314367E0,9.676574707E0
2.360095011E0,8.997012973E-1,2.938386202E0,9.528220177E0
2.370095011E0,8.183453679E-1,2.900100946E0,9.274580956E0
2.380095011E0,7.226324677E-1,2.895315409E0,9.154939651E0
2.390095011E0,5.934200287E-1,2.909672260E0,9.030512810E0
2.400095011E0,6.460621357E-1,2.952743053E0,8.920442581E0
2.410095011E0,7.274180651E-1,2.933600664E0,8.901300430E0
2.420095011E0,7.992027402E-1,2.947957516E0,8.915657043E0
2.430095011E0,8.422735929E-1,2.995813847E0,9.016156197E0
2.440095011E0,8.757730722E-1,3.014956474E0,9.073583603E0
2.450095011E0,8.901300430E-1,3.029313564E0,9.164510727E0
2.460095011E0,9.044869542E-1,3.058027267E0,9.245866776E0
2.470095011E0,8.997012973E-1,3.081955671E0,9.293723106E0
2.480095011E0,8.327022791E-1,3.038884640E0,9.288937569E0
2.490095011E0,7.657032609E-1,2.976671457E0,9.312865257E0
2.500095011E0,7.561319470E-1,2.971885681E0,9.327222824E0
2.510095011E0,8.327022791E-1,3.010170937E0,9.284152031E0
2.520095011E0,9.332008362E-1,3.010170937E0,9.274580956E0
2.530095011E0,9.858429432E-1,3.019742250E0,9.255437851E0
2.540095011E0,1.043270707E0,3.000599623E0,9.255437851E0
2.550095011E0,1.067198873E0,3.000599623E0,9.265008926E0
2.560095011E0,1.024128079E0,3.005385160E0,9.212367058E0
2.570095011E0,9.762716293E-1,3.010170937E0,9.169296265E0
2.580095011E0,9.379864931E-1,3.038884640E0,9.126225471E0
2.590095011E0,8.805587292E-1,3.043670416E0,9.073583603E0
2.600095011E0,8.518448472E-1,3.000599623E0,8.968298912E0
2.610095011E0,8.135597110E-1,2.986242771E0,8.973084450E0
2.620095011E0,7.752745152E-1,2.981456995E0,9.054440498E0
2.630095011E0,7.369893789E-1,3.014956474E0,9.221938133E0
2.640095011E0,6.652047038E-1,2.981456995E0,9.360722542E0
2.650095011E0,5.934200287E-1,2.967100143E0,9.556933403E0
2.660095011E0,5.790630579E-1,2.895315409E0,9.676574707E0
2.670095011E0,5.024927258E-1,2.924029350E0,9.753145218E0
2.680095011E0,4.594219327E-1,3.000599623E0,9.777072906E0
2.690095011E0,4.402793646E-1,3.038884640E0,9.710074425E0
2.700095011E0,4.354937077E-1,3.029313564E0,9.504291534E0
2.710095011E0,3.924229145E-1,3.000599623E0,9.308079720E0
2.720095011E0,4.737788737E-1,3.038884640E0,9.025727272E0
2.730095011E0,6.077769399E-1,3.038884640E0,8.906085968E0
2.740095011E0,5.264210105E-1,3.062813044E0,8.743373871E0
2.750095011E0,5.503492355E-1,3.058027267E0,8.729017258E0
2.760095011E0,6.221339107E-1,3.029313564E0,8.796015739E0
2.770095011E0,7.274180651E-1,3.029313564E0,9.035298347E0
2.780095011E0,7.704889178E-1,3.043670416E0,9.250652313E0
2.790095011E0,7.322037220E-1,3.010170937E0,9.446864128E0
2.800095011E0,6.795616150E-1,3.029313564E0,9.513862610E0
2.810095011E0,6.891329288E-1,3.043670416E0,9.523433685E0
2.820095011E0,6.699903607E-1,3.062813044E0,9.403793335E0
2.830095011E0,6.747759581E-1,3.043670416E0,9.293723106E0
2.840095011E0,7.274180651E-1,2.981456995E0,9.102297783E0
2.850095011E0,7.609176040E-1,2.981456995E0,9.035298347E0
2.860095011E0,7.944171429E-1,3.038884640E0,8.982656479E0
2.870095011E0,8.183453679E-1,3.062813044E0,9.016156197E0
2.880095011E0,8.566305041E-1,3.067598581E0,9.040083885E0
2.890095011E0,8.422735929E-1,3.081955671E0,9.097511292E0
2.900095011E0,8.662018180E-1,3.062813044E0,9.164510727E0
2.910095011E0,7.800601721E-1,2.995813847E0,9.231510162E0
2.920095011E0,6.987041831E-1,2.957528830E0,9.308079720E0
2.930095011E0,6.173482537E-1,2.957528830E0,9.466006279E0
2.940095011E0,5.982056856E-1,2.943171740E0,9.571290970E0
2.950095011E0,6.317051649E-1,2.957528830E0,9.628718376E0
2.960095011E0,6.604190469E-1,3.005385160E0,9.585647583E0
2.970095011E0,6.939185858E-1,3.043670416E0,9.494720459E0
2.980095011E0,7.561319470E-1,3.091526747E0,9.312865257E0
2.990095011E0,8.470591903E-1,3.101098061E0,9.178867340E0
3.000095011E0,8.662018180E-1,3.105883837E0,9.092725754E0
3.010095011E0,8.470591903E-1,3.105883837E0,9.049654961E0
3.020095011E0,7.992027402E-1,3.058027267E0,9.059226990E0
3.030095011E0,7.178468108E-1,3.038884640E0,9.121439934E0
3.040095011E0,7.369893789E-1,3.019742250E0,9.169296265E0
3.050095011E0,7.465606928E-1,2.981456995E0,9.250652313E0
3.060095011E0,7.322037220E-1,2.962314367E0,9.265008926E0
3.070095011E0,7.226324677E-1,3.010170937E0,9.303294182E0
3.080095011E0,7.896314859E-1,3.048455954E0,9.226723671E0
