"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.207264647E0,-1.756304502E-2,-2.086639404E-3,3.286323547E-1
2.218200011E0,-1.571285725E-2,9.184598923E-3,2.682104111E-1
2.229135376E0,-6.705212593E-2,-8.141517639E-3,1.211614609E-1
2.240070792E0,-1.480113864E-1,-3.917050362E-2,-9.013080597E-2
2.251006157E0,-1.582714319E-1,4.874229431E-3,-2.100048065E-1
2.261941522E0,-8.170551062E-2,5.809831619E-2,-2.251901627E-1
2.272876886E0,-5.553555489E-2,2.514076233E-2,-1.703767776E-1
2.283812251E0,-2.819740772E-2,-4.124093056E-2,-5.881404877E-2
2.294747615E0,5.237042904E-2,-8.189892769E-2,4.294681549E-2
2.305683032E0,9.967482090E-2,-8.708930016E-2,1.871929169E-1
2.316618397E0,1.823462248E-1,-7.756495476E-2,3.652915955E-1
2.327553813E0,2.568202615E-1,3.095865250E-3,4.652566910E-1
2.338489178E0,2.450419068E-1,4.143047333E-2,4.669046402E-1
2.349424542E0,1.625602841E-1,2.850079536E-2,3.943748474E-1
2.360359907E0,1.473533511E-1,7.503032684E-4,2.156267166E-1
2.371295324E0,8.559679985E-2,-5.349898338E-2,-1.707553864E-2
2.382230688E0,-4.032903910E-2,-6.853365898E-2,-1.743164062E-1
2.393166053E0,-1.130701900E-1,-5.188584328E-2,-2.801923752E-1
2.404101417E0,-5.115246773E-2,-2.722382545E-2,-3.697729111E-1
2.415036782E0,5.311435461E-2,-4.202485085E-2,-3.738546371E-1
2.425972199E0,1.025040150E-1,4.045963287E-4,-2.948503494E-1
2.436907563E0,1.385236382E-1,2.674078941E-2,-2.084474564E-1
2.447842928E0,1.619650126E-1,4.583477974E-2,-1.219997406E-1
2.458778292E0,1.677458286E-1,7.307553291E-2,-3.985691071E-2
2.469713657E0,1.553373933E-1,1.091933250E-1,1.389312744E-2
2.480649074E0,1.081897616E-1,6.910347939E-2,3.234100342E-2
2.491584438E0,4.584896564E-2,1.415562630E-2,6.215953827E-2
2.502519803E0,5.086004734E-2,6.642818451E-3,5.137920380E-2
2.513455167E0,1.489693522E-1,2.322459221E-2,1.841640472E-2
2.524390584E0,2.435691953E-1,3.090596199E-2,1.171112061E-3
2.535325949E0,2.683415413E-1,2.510333061E-2,-3.532409668E-3
2.546261313E0,3.101406693E-1,9.815216064E-3,6.055831909E-3
2.557196678E0,2.842385769E-1,-3.686189651E-3,-3.222656250E-2
2.568132042E0,2.258523703E-1,1.099443436E-2,-7.692718506E-2
2.579067459E0,1.752671003E-1,2.721381187E-2,-1.175880432E-1
2.590002824E0,1.242512465E-1,3.374886513E-2,-1.855401993E-1
2.600938188E0,7.616430521E-2,-1.250243187E-2,-2.554292679E-1
2.611873553E0,4.650592804E-2,-4.116868973E-2,-2.327756882E-1
2.622808970E0,7.126331329E-3,-3.588557243E-2,-1.382761002E-1
2.633744334E0,-5.085802078E-2,-1.910185814E-2,1.852607727E-2
2.644679699E0,-1.330303550E-1,-5.011296272E-2,1.908216476E-1
2.655615063E0,-1.718595624E-1,-7.647347450E-2,3.809442520E-1
2.666550428E0,-2.344558239E-1,-9.521055222E-2,4.742746353E-1
2.677485845E0,-2.756123841E-1,-3.949832916E-2,5.153770447E-1
2.688421209E0,-2.995585501E-1,1.605367661E-2,4.585924149E-1
2.699356574E0,-3.193261027E-1,5.795717239E-3,2.765731812E-1
2.710291938E0,-3.509007692E-1,-3.031444550E-2,3.682994843E-2
2.721227355E0,-2.608275712E-1,-1.520013809E-2,-2.173948288E-1
2.732162720E0,-1.516622901E-1,-1.682877541E-2,-3.816041946E-1
2.743098084E0,-2.141670585E-1,-1.123762131E-2,-4.839954376E-1
2.754033449E0,-1.721001863E-1,-2.557277679E-2,-4.779825211E-1
2.764968813E0,-6.081241369E-2,-3.196644783E-2,-3.416328430E-1
2.775904230E0,1.350927353E-2,-1.499819756E-2,-8.640384674E-2
2.786839595E0,1.472538710E-2,-1.388216019E-2,1.562328339E-1
2.797774959E0,-4.444479942E-2,-1.423430443E-2,2.613573074E-1
2.808710324E0,-5.017381907E-2,1.561999321E-2,2.741107941E-1
2.819645688E0,-5.889725685E-2,2.431416512E-2,1.874132156E-1
2.830581105E0,-5.047756433E-2,-2.241849899E-3,4.466438293E-2
2.841516470E0,-6.767988205E-3,-6.298208237E-2,-1.248407364E-1
2.852451834E0,1.720130444E-2,-5.782580376E-2,-2.157907486E-1
2.863387199E0,4.667526484E-2,1.585006714E-3,-2.410678864E-1
2.874322563E0,5.703032017E-2,3.778553009E-2,-1.989078522E-1
2.885257980E0,8.914780617E-2,4.034328461E-2,-1.628389359E-1
2.896193709E0,7.971215248E-2,5.128002167E-2,-9.874820709E-2
2.907128709E0,3.966468573E-2,1.111197472E-2,-3.124809265E-2
2.918064074E0,-5.765354633E-2,-5.067658424E-2,5.577468872E-2
2.928999438E0,-1.357201934E-1,-6.414151192E-2,1.987771988E-1
2.939934855E0,-1.614578962E-1,-6.236267090E-2,3.113975525E-1
2.950870220E0,-1.198381782E-1,-4.269647598E-2,3.710527420E-1
2.961805584E0,-8.454120159E-2,3.049612045E-3,3.357849121E-1
2.972740949E0,-4.167371988E-2,3.560972214E-2,2.044544220E-1
2.983676313E0,3.196740150E-2,7.052493095E-2,1.390457153E-2
2.994611730E0,1.097254753E-1,7.211184502E-2,-1.095809937E-1
3.005547095E0,1.019284725E-1,6.548571587E-2,-1.791191101E-1
3.016482459E0,7.353287935E-2,4.483342171E-2,-1.854286194E-1
3.027417824E0,-5.068361759E-3,2.150821686E-2,-1.517267227E-1
3.038353240E0,-2.552646399E-2,-6.767749786E-3,-7.911109924E-2
3.049288605E0,-8.482575417E-3,-3.455185890E-2,-3.447532654E-3
3.060223970E0,-2.008223534E-2,-4.499459267E-2,2.720928192E-2
3.071159334E0,-2.235853672E-2,-2.577924728E-2,3.688335419E-2
3.082094699E0,3.354388475E-2,1.816892624E-2,-2.131080627E-2
3.093030115E0,3.587037325E-2,1.524686813E-3,-6.556415558E-2
3.103965480E0,7.388639450E-2,-1.345205307E-2,-8.803749084E-2
3.114900845E0,1.199375987E-1,1.756215096E-2,-8.154773712E-2
3.125836209E0,9.289824963E-2,1.651787758E-2,-6.332397461E-2
3.136771574E0,6.069254875E-2,1.224970818E-2,-1.749515533E-2
3.147706938E0,5.390989780E-2,4.896855354E-2,1.500988007E-2
3.158642355E0,1.359927654E-2,7.355976105E-2,6.664562225E-2
3.169577720E0,-8.404850960E-4,1.614186764E-1,1.306581497E-1
3.180513084E0,-8.929014206E-3,1.994979382E-1,1.119737625E-1
3.191448449E0,3.916698694E-2,1.564736366E-1,1.166467667E-1
3.202383865E0,-5.701363087E-3,1.230294704E-1,4.092979431E-2
3.213319230E0,-7.574629784E-2,1.489245892E-1,-2.265071869E-2
3.224254595E0,6.893593073E-2,1.183536053E-1,-9.276771545E-2
3.235189959E0,1.911713481E-1,4.914832115E-2,-5.840015411E-2
3.246125324E0,1.572734714E-1,2.404904366E-2,-1.240634918E-2
3.257060636E0,1.293647885E-1,1.856160164E-2,-3.393363953E-2
3.267996105E0,1.223590374E-1,3.258752823E-2,-5.313587189E-2
3.278931470E0,1.407878995E-1,-8.402109146E-3,-8.517932892E-2
3.289866834E0,1.666393280E-1,-6.561994553E-2,-1.608209610E-1
3.300802199E0,1.864283085E-1,-9.014415741E-2,-2.653236389E-1
3.311737563E0,2.988690138E-1,-1.245670319E-1,-2.967557907E-1
3.322672980E0,3.372540474E-1,-1.407334805E-1,-2.346591949E-1
3.333608345E0,2.109247446E-1,-1.545574665E-1,-1.409730911E-1
3.344543709E0,6.394052505E-2,-1.399116516E-1,-7.178974152E-2
3.355479074E0,2.953481674E-2,-5.647230148E-2,-1.993274689E-2
3.366414438E0,3.881382942E-2,2.104735374E-2,-4.812812805E-2
3.377349803E0,-2.822077274E-2,-3.682851791E-3,-9.293365479E-2
3.388285220E0,-2.030563354E-2,-5.348300934E-2,-1.012887955E-1
3.399220584E0,-1.047790051E-2,-9.456896782E-2,-7.798194885E-2
3.410155949E0,-8.556675911E-2,-8.218646049E-2,-3.867340088E-2
3.421091313E0,-1.410667300E-1,-5.544281006E-2,-3.115844727E-2
3.432026730E0,-2.192883492E-1,-5.810856819E-2,9.657859802E-3
3.442962095E0,-2.530353069E-1,-5.424547195E-2,8.133125305E-2
3.453897459E0,-2.863599658E-1,-3.171110153E-2,1.972112656E-1
3.464832824E0,-2.827954888E-1,-5.018782616E-2,2.724466324E-1
3.475768188E0,-1.962125897E-1,-5.949974060E-2,2.893047333E-1
3.486703553E0,-1.381480694E-1,-8.332180977E-2,2.380371094E-1
3.497638970E0,-4.453480244E-2,-6.133508682E-2,1.258172989E-1
3.508574334E0,5.642771721E-3,-3.301262856E-2,-1.181049347E-1
3.519509699E0,1.140356064E-3,1.970291138E-2,-2.710485458E-1
3.530445063E0,-1.239851713E-1,2.561855316E-2,-2.758846283E-1
3.541380428E0,-2.284419537E-1,1.046485901E-1,-2.397432327E-1
3.552315792E0,-3.523992300E-1,5.534982681E-2,-1.375560760E-1
3.563251209E0,-3.658832312E-1,9.013414383E-3,3.898429871E-2
3.574186574E0,-3.712886572E-1,1.375675201E-2,1.466922760E-1
3.585121938E0,-3.264442682E-1,-4.572296143E-2,1.598892212E-1
3.596057303E0,-2.188143134E-1,-1.012036800E-1,1.532258987E-1
3.606992667E0,-1.207129955E-1,-9.882521629E-2,1.430578232E-1
3.617928032E0,-2.491450310E-2,-1.744079590E-2,1.240606308E-1
3.628863449E0,2.548384666E-2,1.637196541E-2,1.167201996E-1
3.639798813E0,3.326427937E-2,-4.407000542E-2,1.461839676E-1
3.650734178E0,-6.245350838E-2,-7.698321342E-2,2.488632202E-1
